"","Year","Month","SPI_1","SPI_3","SPI_6","SPI_12"
"1",1901,1,-0.285761584340004,NA,NA,NA
"2",1901,2,0.800664723466411,NA,NA,NA
"3",1901,3,0.763554331598105,0.564597124743501,NA,NA
"4",1901,4,0.501661241011051,1.00165043967844,NA,NA
"5",1901,5,-0.293911952855366,0.581210008990561,NA,NA
"6",1901,6,-0.248025899185127,0.0386822292846121,0.470932730585513,NA
"7",1901,7,-0.395377704359922,-0.674017748250614,0.684046494925149,NA
"8",1901,8,0.0495541479625756,-0.41958989460962,0.343750987109645,NA
"9",1901,9,1.86725851630117,1.26153384082773,0.787989166167499,NA
"10",1901,10,1.47527728729689,1.92532317102424,1.28282741677454,NA
"11",1901,11,0.664254692609205,2.02526815299533,1.52048305932581,NA
"12",1901,12,-0.31700892124723,0.781568724794398,1.17099690692186,0.995280818590987
"13",1902,1,-0.293671734057651,-0.0924713753564207,0.877836377632998,1.06410244250226
"14",1902,2,-0.473552663499724,-0.610286806949193,0.553885212068923,0.61009923959562
"15",1902,3,0.452318139264384,-0.229032743902004,0.209226785993548,0.488297381856585
"16",1902,4,-0.176283392638681,-0.187288078717291,-0.198322537985915,0.321180556729008
"17",1902,5,-1.10663613454229,-0.143270514956368,-0.556509607898568,0.230893851781461
"18",1902,6,0.915764439441589,-0.379718171371828,-0.381238551466567,0.344582445068228
"19",1902,7,-0.164933698477528,-0.376687940951127,-0.326571488494964,0.359113522311401
"20",1902,8,0.633455637327392,0.636497304118627,0.0816330180658608,0.431310083357742
"21",1902,9,1.67881700661976,1.39689892248035,0.614921196359388,0.386758947207305
"22",1902,10,-0.527069491862016,0.921724529738686,0.518012825642101,0.00346149858843998
"23",1902,11,-1.39374294144131,-0.197674035180971,0.102769233621877,-0.452311944173551
"24",1902,12,-0.155426820129406,-1.13050038739637,-0.191088722106093,-0.450975921693827
"25",1903,1,-1.31783262344802,-1.46858093808616,-0.760663967198554,-0.826812710116565
"26",1903,2,-0.664981621735374,-1.11964216954475,-1.05028682134593,-0.871924536229736
"27",1903,3,-1.92272645493771,-1.91087453847132,-2.13141681870218,-1.57730854886461
"28",1903,4,0.615643527262198,-1.17093461621823,-1.64859966274359,-1.29733475931413
"29",1903,5,0.251300734643172,-0.769934910545829,-1.26477560230688,-1.06767542091107
"30",1903,6,0.433073638630458,0.59073224739082,-1.32267748979095,-1.10749221958371
"31",1903,7,-0.738084753963896,-0.0589432212253437,-1.07556480379277,-1.14134893649495
"32",1903,8,-0.268969258441256,-0.383398826606605,-0.940630712138676,-1.26821766345112
"33",1903,9,-1.39075162810454,-1.48841116113707,-0.364216726623689,-1.86523516964636
"34",1903,10,-0.535020862716985,-1.25039448511357,-1.02922124345905,-1.81770997210904
"35",1903,11,0.590972389295532,-0.45404479721327,-0.585617529366553,-1.35692291654278
"36",1903,12,-0.698877744760432,-0.357246538240761,-0.925987602820026,-1.60531814485337
"37",1904,1,1.58096698546546,0.893794379071307,0.257395702463217,-0.561460837609003
"38",1904,2,0.632117331146936,0.887091194373292,0.517343472440177,-0.0726507286940702
"39",1904,3,0.43068297772518,1.23232338105974,0.809069039202575,0.562502010990031
"40",1904,4,-0.714763776703245,0.282807584432131,0.70784054277939,0.26542297229946
"41",1904,5,-0.721083047314717,-0.301612186890451,0.483809656598503,0.139528698391968
"42",1904,6,0.0100883796580368,-1.02549598535156,0.753052557816473,0.0981581203435012
"43",1904,7,-0.735122249020127,-0.967781993579941,-0.0689503139412216,0.0983408271667312
"44",1904,8,-0.334753289752409,-0.662016733164178,-0.608942203125263,0.0929806959671286
"45",1904,9,-0.298264808698794,-0.831774270441147,-1.33904131433168,0.214247050229906
"46",1904,10,-0.342966029928125,-0.654121519627734,-1.0870890312151,0.24587742145576
"47",1904,11,-0.761971873027258,-0.970897682369256,-1.13154903418324,-0.0564429258537278
"48",1904,12,-0.94486445908546,-1.22407938254365,-1.41473391227063,-0.130336244128714
"49",1905,1,-0.414264933521571,-1.10377020638303,-1.32710867129662,-1.02977511373643
"50",1905,2,0.102612464498628,-0.607047128412162,-1.00963161621453,-1.2380586126643
"51",1905,3,0.0980367893472739,-0.18772870276777,-0.819178190333188,-1.33230429061886
"52",1905,4,-0.171901238830875,-0.0700407905918463,-0.730873087073412,-1.16025749740359
"53",1905,5,0.76447219921435,0.138284008063666,-0.395447884350503,-0.885999568859448
"54",1905,6,0.527806732732812,0.320042266337784,-0.0759107424318072,-0.810858113585303
"55",1905,7,-1.73349119566434,0.139263376687276,-0.0509878867432687,-0.857983204310798
"56",1905,8,-0.0510061503311779,-0.496785319730243,-0.119749051190984,-0.829629443613595
"57",1905,9,1.2068599930309,0.325826739881433,0.373014155792419,-0.529027064712221
"58",1905,10,-0.388673938985319,0.382774308248024,0.322332776465374,-0.51768930522255
"59",1905,11,-0.23379910471266,0.171601398747215,-0.113836568622699,-0.416102535174128
"60",1905,12,0.0645950903553582,-0.353058247645396,-0.180197611404186,-0.20300087987861
"61",1906,1,-0.287720425146832,-0.329784766710593,-0.154675389676162,-0.197494167806722
"62",1906,2,-0.164616101588548,-0.287323819558275,-0.203090748515779,-0.286829064643533
"63",1906,3,-0.195012258743459,-0.405687059082481,-0.554547374562371,-0.371469574574944
"64",1906,4,-0.883666777474096,-0.660217712219813,-0.629120340527094,-0.492667330342685
"65",1906,5,0.631913568299763,-0.395553810782223,-0.458263150617179,-0.49638397993295
"66",1906,6,-0.103869476442731,-0.432899142986647,-0.555693867488207,-0.550819689584071
"67",1906,7,-1.89733744825036,-0.326493474663825,-0.731165500969372,-0.550248647290429
"68",1906,8,-1.05491695807121,-1.53206725895183,-1.00608859568448,-0.647132567022685
"69",1906,9,0.733220193736592,-0.555998333707146,-0.726493832188687,-0.749677628698998
"70",1906,10,1.64029072978169,1.06818962519382,0.666827560674648,-0.293146583247336
"71",1906,11,0.912218796358906,1.68198234724555,0.874745426868583,-0.0055253680527061
"72",1906,12,0.925044914510863,1.65717534618352,1.16640664450253,0.23231070077521
"73",1907,1,0.828326499804188,1.21310057526431,1.50169222167813,0.644718323650203
"74",1907,2,0.933970372878571,1.20228331065007,1.74554694120135,1.03564713254267
"75",1907,3,0.204840613163151,0.886407776481237,1.54263332315235,1.13428498770811
"76",1907,4,2.02463563194193,1.4879631397799,1.62975758997374,1.75876578531456
